article,section,section_title,expected_family,priority,triggers_expected
1.1,1,Definitions - Confidential Information,Definitions,LOW,"means"
1.2,1,Definitions - Deliverables,Definitions,LOW,"means"
1.3,1,Definitions - Key Person,Definitions,LOW,"means"
1.4,1,Definitions - Materials,Definitions,LOW,"means"
1.5,1,Definitions - Net Receipts,Definitions,LOW,"means"
1.6,1,Definitions - NPI,Definitions,LOW,"means"
1.7,1,Definitions - Production Fee,Definitions,LOW,"means"
1.8,1,Definitions - Program,Definitions,LOW,"means"
2.1,2,Engagement,ServicesScope,MEDIUM,"engages ProdCo|shall render"
2.2,2,Production Standards,ServicesScope,MEDIUM,"shall produce|production standards"
2.3,2,Creative Consultation,CreativeControl,MEDIUM,"creative consultation|approval"
2.4,2,Key Persons,KeyPersons,HIGH,"Key Person|becomes unavailable"
3.1,3,Work Made for Hire,RightsGrant,CRITICAL,"work made for hire|assigns|all right title and interest"
3.2,3,Scope of Rights,RightsGrant,CRITICAL,"Amazon shall own|in perpetuity|throughout the universe"
3.3,3,Exploitation Rights,RightsGrant,CRITICAL,"exclusive right|exploit|distribute"
3.4,3,Derivative Works,RightsGrant,CRITICAL,"derivative works|exclusive right"
3.5,3,No Reversion,RightsReversion,CRITICAL,"no reversion|shall not revert"
3.6,3,Further Assurances,RightsGrant,MEDIUM,"execute any documents|attorney-in-fact"
4.1,4,Production Fee,PaymentCredits,HIGH,"Amazon shall pay|Production Fee|in full consideration"
4.2,4,Contingent Compensation,PaymentCredits,HIGH,"contingent compensation|Net Receipts"
4.3,4,Taxes,PaymentCredits,LOW,"taxes|payments received"
5.1,5,ProdCo Representations,RepsProdCo,CRITICAL,"ProdCo represents and warrants|full right power and authority"
5.2,5,Survival of Reps,SurvivalRemedies,MEDIUM,"shall survive|expiration or termination"
6.1,6,ProdCo Indemnification,IndemnityProdCo,CRITICAL,"ProdCo shall indemnify|Amazon Indemnitees"
6.2,6,Indemnification Procedures,IndemnityProcedures,HIGH,"promptly notify|assume the defense"
6.3,6,Amazon Indemnification,IndemnityAmazon,HIGH,"Amazon shall indemnify"
7.1,7,Exclusion of Consequential Damages,LiabilityLimitation,CRITICAL,"IN NO EVENT SHALL|CONSEQUENTIAL|INDIRECT"
7.2,7,Liability Cap,LiabilityLimitation,CRITICAL,"aggregate liability|shall not exceed"
7.3,7,Exceptions,LiabilityLimitation,HIGH,"limitations|shall not apply"
7.4,7,ProdCo Liability,LiabilityLimitation,HIGH,"limitations of liability|not limited"
8.1,8,Termination for Convenience,TerminationRights,CRITICAL,"may terminate|sole discretion"
8.2,8,Termination for Cause,TerminationRights,CRITICAL,"may terminate|material breach"
8.3,8,Effect of Termination,TerminationConsequences,HIGH,"Upon termination|shall remain vested"
8.4,8,No ProdCo Termination,TerminationRights,HIGH,"shall not have the right to terminate"
8.5,8,Survival,SurvivalRemedies,MEDIUM,"shall survive termination|provisions shall survive"
9.1,9,Confidentiality Obligations,Confidentiality,HIGH,"Confidential Information|shall not disclose"
9.2,9,Program Confidentiality,Confidentiality,HIGH,"strict confidentiality|security protocols"
9.3,9,Permitted Disclosures,Confidentiality,MEDIUM,"may disclose|need to know"
9.4,9,Breach Notification,Confidentiality,MEDIUM,"immediately notify|unauthorized disclosure"
9.5,9,Confidentiality Survival,SurvivalRemedies,MEDIUM,"shall survive|after termination"
10.1,10,Approval Required,Publicity,MEDIUM,"press release|prior written approval"
10.2,10,Social Media,Publicity,MEDIUM,"social media|approval"
10.3,10,Amazon Control,Publicity,MEDIUM,"sole and exclusive control|marketing"
11.1,11,Required Coverage,Insurance,HIGH,"shall obtain and maintain|insurance|Commercial General Liability"
11.2,11,Additional Insured,Insurance,HIGH,"additional insured|primary and non-contributory"
12.1,12,Governing Law,DisputeResolution,MEDIUM,"governed by|State of California"
12.2,12,Arbitration,DisputeResolution,MEDIUM,"arbitration|JAMS"
12.3,12,Injunctive Relief,DisputeResolution,MEDIUM,"injunctive relief"
12.4,12,Jury Waiver,DisputeResolution,LOW,"waives|trial by jury"
13.1,13,Assignment,Assignment,MEDIUM,"may not assign|freely assign"
13.2,13,Notices,GeneralProvisions,LOW,"notices|in writing"
13.3,13,Force Majeure,ForceMajeure,MEDIUM,"force majeure|beyond reasonable control"
13.4,13,Entire Agreement,GeneralProvisions,LOW,"entire agreement|supersedes"
13.5,13,Severability,GeneralProvisions,LOW,"severability|invalid"
13.6,13,Counterparts,GeneralProvisions,LOW,"counterparts|electronic signature"
13.7,13,No Waiver,GeneralProvisions,LOW,"no waiver|failure to enforce"
13.8,13,Relationship,GeneralProvisions,LOW,"independent contractor"
