matter_code,clause_type_code,acceptance,example_text,normalized_terms,source_ref
commercials_fees_credit,fees_condition_not_in_uncured_material_breach,ACCEPTABLE,"If ProdCo is not in uncured, material breach of this Agreement, subject to any other applicable terms and conditions, ProdCo will receive the fees specified in Exhibit A.","uncured material breach|subject to other terms|Exhibit A","{""doc"":""PSA_Principal_Terms"",""section"":""FEES""}"
commercials_fees_credit,fees_condition_not_in_uncured_material_breach,PASSABLE,"Fees payable provided ProdCo is not in uncured material breach; payment within 30 days of valid invoice.","uncured material breach|invoice|30 days","{""doc"":""Counterparty_Markup"",""note"":""Administrative timing acceptable""}"
commercials_fees_credit,fees_condition_not_in_uncured_material_breach,UNACCEPTABLE,"Fees payable only upon final court adjudication that ProdCo is not in breach.","final adjudication|court|breach","{""doc"":""Counterparty_Proposal"",""note"":""Unacceptable qualifier - too restrictive""}"
commercials_fees_credit,fees_condition_not_in_uncured_material_breach,UNACCEPTABLE,"Fees become unconditional and payable regardless of breach status (pay-or-play).","unconditional|pay-or-play|regardless","{""doc"":""Counterparty_Proposal"",""note"":""Pay-or-play not permitted without approval""}"
commercials_fees_credit,fees_subject_to_other_terms_and_conditions,ACCEPTABLE,"Subject to any other applicable terms and conditions of this Agreement.","subject to|applicable terms|conditions","{""doc"":""PSA_Principal_Terms"",""section"":""FEES""}"
commercials_fees_credit,fees_subject_to_other_terms_and_conditions,UNACCEPTABLE,"Fees are unconditional and not subject to any other terms of this Agreement.","unconditional|not subject to","{""doc"":""Counterparty_Proposal"",""note"":""Removes conditionality""}"
commercials_fees_credit,entitlements_condition_completion_and_not_in_uncured_material_breach,ACCEPTABLE,"If ProdCo timely completes services and is not in uncured, material breach, ProdCo will receive entitlements and credit specified in Exhibit A, subject to guild/union requirements.","completes services|uncured material breach|Exhibit A|guild/union","{""doc"":""PSA_Principal_Terms"",""section"":""ENTITLEMENTS_CREDIT""}"
commercials_fees_credit,entitlements_condition_completion_and_not_in_uncured_material_breach,PASSABLE,"Entitlements conditioned on completion of principal photography and no material breach at time of delivery.","principal photography|delivery|material breach","{""doc"":""Counterparty_Markup"",""note"":""Acceptable milestone variant""}"
commercials_fees_credit,credit_sole_discretion,ACCEPTABLE,"All aspects of credits (including, without limitation, placement, form, size, and duration) are at Amazon's sole discretion except as specifically set forth in this Agreement.","sole discretion|credits|placement|form|size|duration","{""doc"":""PSA_Principal_Terms"",""section"":""ENTITLEMENTS_CREDIT""}"
commercials_fees_credit,credit_sole_discretion,UNACCEPTABLE,"Credit placement and size shall be mutually agreed by the parties.","mutually agreed|credit placement","{""doc"":""Counterparty_Proposal"",""note"":""Removes Amazon discretion""}"
